Name,Description,SF,LF,CY,EA,Drop Count
A/V - Speaker Ceiling recessed,,0.00,0.00,0.00,42,0
A/V - Speaker Hanging,,0.00,0.00,0.00,26,0
A/V - Speaker Horn,,0.00,0.00,0.00,4,0
A/V - volume control,,0.00,0.00,0.00,13,0
Camera - wall fixed exterior,,0.00,0.00,0.00,9,0
Data  - TV,,0.00,0.00,0.00,13,0
Data - 1 drop wall,,0.00,0.00,0.00,6,0
Data - 2 drop floor,,0.00,0.00,0.00,6,0
Data - 2 drop wall,,0.00,0.00,0.00,28,0
Data - Phone drop (P),,0.00,0.00,0.00,14,0
EDC Door unit,,0.00,0.00,0.00,8,0
IDS - motion wall,,0.00,0.00,0.00,6,0
Rack - wall rack,,0.00,0.00,0.00,1,0

STACK Construction Technologies is not responsible for ensuring the accuracy and completeness of this report. Results are not guaranteed.
